Species,Lat,Long
Sp1,-8.28,-76.43
Sp1,-8.9,-76.1
Sp1,-8.4,-76.46
Sp1,-8.3,-76.35
Sp1,-8.47,-76.31
Sp1,-8.75,-76.19
Sp1,-8.59,-76.27
Sp1,-9.31,-75.99
Sp1,-8.34,-76.4
Sp1,-9.11,-76.05
Sp1,-8.74,-76.13
Sp1,-8.58,-76.27
Sp1,-8.54,-76.29
Sp1,-8.47,-76.32
Sp1,-8.32,-76.35
Sp1,-8.23,-76.43
Sp1,-8.27,-76.56
Sp1,-8.44,-76.46
Sp1,-8.39,-76.41
Sp1,-8.39,-76.37
Sp1,-8.39,-76.34
Sp1,-8.35,-76.35
Sp1,-8.35,-76.38
Sp1,-8.35,-76.34
Sp2,-9,-75.03
Sp2,-9.57,-75.01
Sp2,-8.9,-75.04
Sp2,-9.21,-75
Sp2,-8.92,-75.37
Sp2,-9.19,-75.88
Sp2,-8.78,-74.8
Sp2,-7.92,-76.67
Sp2,-6.61,-76.16
Sp2,-6.63,-76.61
Sp2,-8.21,-73.69
Sp2,-8.4,-73.86
Sp2,-7.38,-74.95
Sp2,-7.81,-75.3
Sp2,-7.3,-75.01
Sp2,-7.02,-75.17
Sp2,-7.08,-75.13
Sp2,-7.03,-75.09
Sp2,-6.87,-75.19
Sp2,-6.9,-75.28
Sp2,-7.14,-76.75
Sp2,-6.96,-76.77
Sp2,-8.54,-74.81
Sp2,-7.71,-76.66
Sp2,-7.75,-76.67
Sp2,-9.18,-75.79
Sp2,-7.48,-76.65
Sp2,-9.06,-75.68
Sp2,-7.12,-76.76
Sp2,-7.76,-76.67
Sp2,-7.65,-76.66
Sp2,-9.35,-75.03
Sp2,-9.33,-75.02
Sp2,-8.94,-75.04
Sp2,-8.97,-75.03
Sp2,-8.99,-75.03
Sp2,-9.09,-75.03
Sp2,-9.2,-75
Sp2,-9.56,-75.01
Sp2,-8.85,-75.15
Sp2,-8.85,-75.16
Sp2,-8.85,-75.17
Sp2,-8.83,-75.2
Sp2,-8.83,-75.23
Sp2,-8.82,-75.23
Sp2,-8.88,-75.32
Sp2,-8.9,-75.34
Sp2,-8.91,-75.35
Sp2,-8.91,-75.36
Sp2,-8.85,-74.8
Sp2,-8.49,-74.81
Sp2,-7.92,-76.68
Sp2,-7.8,-76.67
Sp2,-8.96,-75.47
Sp2,-8.94,-75.47
Sp2,-8.94,-75.48
Sp2,-8.93,-75.49
Sp2,-8.93,-75.45
Sp2,-8.94,-75.45
Sp2,-9.15,-75.78
Sp2,-7.33,-76.8
Sp2,-7.31,-76.78
Sp2,-7.03,-76.72
Sp2,-7.74,-76.66
Sp2,-7.32,-76.69
Sp2,-6.62,-76.18
Sp2,-6.62,-76.17
Sp2,-6.6,-76.15
Sp2,-6.62,-76.19
Sp2,-6.63,-76.57
Sp2,-6.58,-76.5
Sp2,-6.64,-76.58
Sp2,-6.64,-76.71
Sp2,-6.71,-76.7
Sp2,-7.43,-76.66
Sp3,-6.4,-76.27
Sp3,-6.39,-76.28
Sp3,-6.35,-76.3
Sp3,-6.28,-76.29
Sp3,-6.29,-76.28
Sp3,-6.32,-76.28
Sp3,-6.05,-77.04
Sp3,-6.04,-77.05
Sp3,-6.05,-77.03
Sp3,-6.1,-76.26
Sp3,-5.89,-76.14
Sp3,-5.88,-76.35
Sp3,-5.91,-76.43
Sp3,-5.9,-76.4
Sp3,-6.11,-77.03
Sp3,-6.03,-77.17
Sp3,-6.28,-76.17
Sp3,-6.22,-75.94
Sp3,-6.23,-75.82
Sp3,-6.03,-77
Sp3,-5.8,-76.18
Sp3,-6.04,-77.13
