"Species","Lat","Long","bio7","bio8","bio15","bio18","bio19"
"Sp1",-8.28,-76.43,12.3100011825563,25.4301658248901,33.2330651855468,923.399999999996,415.889999999993
"Sp1",-8.9,-76.1,13.0500001907349,24.9291672706603,36.4000186920169,860.999999999998,494.999999999991
"Sp1",-8.4,-76.46,12.5350001335143,25.2333335876465,32.7745338439939,902.349999999934,454.700000000011
"Sp1",-8.3,-76.35,12.4750003814698,25.3416666984558,32.6030673980709,976.500000000002,456.500000000006
"Sp1",-8.47,-76.31,12.6500005149841,25.0803343963624,32.7896356964113,1015.78000000002,491.710000000009
"Sp1",-8.75,-76.19,12.6699999809266,24.9275001525879,33.0079917907715,813.300000000002,528.85
"Sp1",-8.59,-76.27,12.4539996337891,24.7213328552246,30.9894710731506,818.709999999999,562.390000000001
"Sp1",-9.31,-75.99,13.0890007400515,24.1906664466855,42.6253121566775,699.119999999954,330.879999999977
"Sp1",-8.34,-76.4,12.5299995422363,25.4058335304261,32.3375825881958,984.449999999995,467.999999999999
"Sp1",-9.11,-76.05,13,24.9275004386902,41.221657371521,832.95,415.25
"Sp1",-8.74,-76.13,13.0930003547669,25.0449993705749,33.2443208312989,841.24,544.17
"Sp1",-8.58,-76.27,12.7210006523132,24.2298336601258,31.4849523544311,721.390000000011,513.730000000007
"Sp1",-8.54,-76.29,12.5680002593991,24.661833992005,32.768436355591,867.759999999966,475.810000000056
"Sp1",-8.47,-76.32,12.6019986724854,25.3283336448666,33.3118598175042,876.880000000258,496.929999999999
"Sp1",-8.32,-76.35,12.5950003623963,25.4300008773804,32.8468397140501,990.000000000005,461.300000000004
"Sp1",-8.23,-76.43,12.3999998092651,25.2818330383301,32.8222951889042,893.769999999992,403.619999999993
"Sp1",-8.27,-76.56,12.5,25.3461671066284,32.7338774108886,867.869999999996,378.999999999999
"Sp1",-8.44,-76.46,12.4299997329713,25.0953337860108,32.7937052917481,919.379999999967,464.210000000007
"Sp1",-8.39,-76.41,12.7209989356995,25.3763333129883,33.1282787322998,954.52,469.92
"Sp1",-8.39,-76.37,12.6999988555908,25.4166660308838,33.4268196487427,1025.79,476.449999999999
"Sp1",-8.39,-76.34,12.7699991226196,25.3999996185303,32.757396774292,1034.6,492.8
"Sp1",-8.35,-76.35,12.6750006675721,25.4458336830139,32.7459707260131,1009.25,474.000000000003
"Sp1",-8.35,-76.38,12.6499996185303,25.4025003433228,32.2815315246582,1001.35,477.7
"Sp1",-8.35,-76.34,12.7000007629395,25.4558340072632,32.7005674362183,1013.6,477.05
"Sp2",-9,-75.03,12.5,26.6716659545898,39.8263624191284,817.55,366.5
"Sp2",-9.57,-75.01,12.7829991722107,26.4300010681152,42.726884727478,706.370000000001,286.100000000002
"Sp2",-8.9,-75.04,12.7000007629394,26.7716663360596,39.3265312194823,811.150000000006,364.800000000007
"Sp2",-8.92,-75.37,12.9000011634827,26.4611672592163,40.2536030578613,1198.66,539.61
"Sp2",-9.19,-75.88,13.7799998664856,23.7938334465026,41.8037798690796,663.659999999987,951.249999999983
"Sp2",-7.92,-76.67,12.3090008163452,25.0705006599426,29.455750579834,767.060000000004,366.750000000001
"Sp2",-6.61,-76.16,12.8699989700317,26.1985001945496,29.373627281189,411.53,253.27
"Sp2",-6.63,-76.61,13.4660000038147,25.2438333511352,22.3118572616577,344.02,256.77
"Sp2",-7.81,-75.3,12.4849980354309,27.0016669273376,31.8933969497681,641.25,299.85
"Sp2",-7.3,-75.01,12.7000007629395,26.8166656494141,29.4828251838685,487.700000000001,271.099999999999
"Sp2",-7.02,-75.17,12.4089977455139,26.9970000457764,33.3757260894776,536.99,268.590000000005
"Sp2",-7.08,-75.13,12.4089977455139,26.9971665382385,32.1458067321777,524.9,273.88
"Sp2",-7.03,-75.09,12.3629996109009,26.7615009689331,30.9943570899963,530.03,289.299999999999
"Sp2",-6.87,-75.19,12.4999980926514,26.8393321609497,32.9471616363526,557.72,293.64
"Sp2",-6.9,-75.28,12.5499982833862,26.8583335876465,33.082515335083,553.05,273.049999999998
"Sp2",-7.14,-76.75,12.8650004386902,26.0933332443237,28.03093957901,401.699999999998,285.749999999998
"Sp2",-6.96,-76.77,13.2029988670349,26.4676659011841,30.3429676055908,398.57,239.47
"Sp2",-7.71,-76.66,12.7579996490478,23.494499912262,27.8792038345337,554.290000000001,292.760000000001
"Sp2",-7.75,-76.67,12.685000705719,23.7216666221618,29.149322128296,584.249999999993,291.049999999996
"Sp2",-9.18,-75.79,14.070000267029,22.4315004539481,42.5435985183745,481.609999999862,704.499999999813
"Sp2",-7.48,-76.65,12.5,26.2616664886475,28.7121995925904,577.450000000001,313.349999999999
"Sp2",-9.06,-75.68,13.3699998855597,24.9901671409584,40.8281416320806,973.589999999511,1370.64999999933
"Sp2",-7.12,-76.76,12.9029979133606,25.8581665420533,27.1451856613158,428.639999999999,276.149999999982
"Sp2",-7.76,-76.67,12.4670010757446,24.6774998092652,28.1874860954285,700.760000000001,350.74
"Sp2",-7.65,-76.66,12.5800000190735,24.9383335113525,26.4230248451233,673.25,370.65
"Sp2",-9.35,-75.03,12.7000007629394,26.5424993515015,41.930864906311,785.5,329.8
"Sp2",-9.33,-75.02,12.6810005187988,26.5954988861084,42.0639671707153,752.350000000003,326.61
"Sp2",-8.94,-75.04,12.5420018959046,26.7466661453246,39.255277709961,813.950000000011,373.020000000002
"Sp2",-8.97,-75.03,12.5,26.6894991874695,39.545444984436,813.61,368.23
"Sp2",-8.99,-75.03,12.5,26.6771658706665,39.8139947509766,815.1,364.53
"Sp2",-9.09,-75.03,12.3999977111816,26.561665725708,40.5976247024536,817.54,365.26
"Sp2",-9.56,-75.01,12.6419986343384,26.5479992675781,42.7346432495116,709.700000000002,286.190000000001
"Sp2",-8.85,-75.15,12.8000011444091,26.5208330154419,38.6705436706544,921.000000000006,424.000000000003
"Sp2",-8.85,-75.16,12.7500002861023,26.5733322143555,38.7233877182007,930.1,428.3
"Sp2",-8.85,-75.17,12.75,26.5533325195312,38.7824380874634,941.500000000002,433.100000000001
"Sp2",-8.83,-75.2,12.6499997138977,26.7108328819275,39.0815824508667,956.500000000001,434.35
"Sp2",-8.83,-75.23,12.6000003814697,26.6499996185303,39.3426899337769,990.5,449.09
"Sp2",-8.82,-75.23,12.5899984550476,26.7361668777466,39.3950019454956,980.250000000001,443.03
"Sp2",-8.88,-75.32,12.7000007629395,26.626999797821,40.1106559371948,1113.06999999999,495.189999999993
"Sp2",-8.9,-75.34,12.7999992370605,26.5808320999146,40.0634397506714,1150.25,516.45
"Sp2",-8.91,-75.35,12.7999992370605,26.5533331871033,40.259156227112,1166.79999999999,520.999999999991
"Sp2",-8.91,-75.36,12.8699995040894,26.5166664123535,40.1310931396484,1179.49,532.47
"Sp2",-7.92,-76.68,12.3809995460509,25.1531665992737,29.7264553642277,772.450000000006,368.149999999998
"Sp2",-7.8,-76.67,12.6700004577636,23.8733335494997,27.7847287178038,617.650000000022,318.350000000011
"Sp2",-8.96,-75.47,13.0630021476746,26.3618335342407,40.9226546096802,1318.57,595.27
"Sp2",-8.94,-75.47,13.0700021743774,26.3443324661255,41.0959279251099,1311.78,586.61
"Sp2",-8.94,-75.48,13.0630021476746,26.3398326683044,41.218118019104,1313.7,587.97
"Sp2",-8.93,-75.49,12.9070015525818,26.424333152771,41.3168544387817,1309.65,584.01
"Sp2",-8.93,-75.45,13.055002117157,26.3158323287964,40.6122095108032,1291.85,587.85
"Sp2",-8.94,-75.45,13.0850022315979,26.3158326148987,40.7548006057739,1295.6,586.35
"Sp2",-9.15,-75.78,13.6599995613098,23.2566667556763,40.9501583099366,655.850000000002,936.500000000004
"Sp2",-7.33,-76.8,12.6449996948242,26.3616666793823,30.0150418281555,474.35,264.05
"Sp2",-7.31,-76.78,12.7270003509522,26.4866668701172,30.1312784004211,464.77,257.77
"Sp2",-7.03,-76.72,13.1910007286072,26.5108333396912,29.388988609314,385.59,238.22
